SMILES	JNK1	JNK2	JNK3	FA7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ccc(O)cc1)c1cnc2ccccn12)c1cnc2ccccc2c1)C(=O)N	9.0	8.9	9.0	8.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)C1CCN(C)CC1)c1ccccc1)C(=O)N	7.1	7.3	7.1	7.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1ccc(S(=O)(=O)N)cc1)c1c[nH]c2ccccc12)C(=O)N	8.6	8.4	8.6	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cnc2ccccc2c1)C(=O)NO)CNC=O)C(=O)N	8.6	8.2	8.6	8.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ccccc1)c1ncncc1Cl)c1cc[nH]n1)C(=O)N	6.8	8.1	6.8	8.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1cnc2ccccn12)c1c[nH]nc1c1cnc2ccccn12)C(=O)N	8.3	9.5	8.3	8.9
C12Cc3c(c(O)ccc3N)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1nc[nH]c1)c1cc(F)cc2c1OCOC2)C(=O)N	8.3	7.8	8.3	9.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c(c[nH]n1)c1[nH]ccc1)c1cc[nH]n1)C(=O)N	7.9	8.7	7.9	8.7
C12Cc3c(c(O)ccc3n3cnc4cncnc34)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1cnc2ccccc2c1)CC(=O)N)C(=O)N	7.9	8.1	7.9	7.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1n(ccn1)c1cccc(F)c1)c1cccc2N(C(=O)C(=NO)c12)C)C(=O)N	8.7	9.1	8.7	8.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1C1OC(C(C1O)O)N1CCNCC1)c1cc(F)cc2c1OCOC2)C(=O)N	7.4	8.0	7.4	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1n(cc(n1)c1n[nH]cn1)c1ccc(I)cc1Cl)C(=O)N	9.3	9.0	9.3	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1C1OC(C(C1O)O)N1CCCCC1)c1c[nH]nc1)C(=O)N	7.1	7.4	7.1	7.6
C12Cc3c(c(O)ccc3n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1cnc2ccccn12)c1cccc2N(C(=O)C(=NO)c12)C)C(=O)N	10.0	10.2	10.0	9.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1C1OCC(C1O)O)c1c[nH]c(c1)c1ccco1)C(=O)N	8.4	9.1	8.4	8.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(nc1)c1n(cnc1)c1nc2c(cc[nH]2)cn1)C(=O)N	9.8	10.5	9.8	9.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)C(=O)NO)c1c(c[nH]n1)C(=O)NO)C(=O)N	7.7	8.2	7.7	8.3
C12Cc3c(c(O)ccc3n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1cnc2ccccc2c1)C1OCC(C1O)O)C(=O)N	8.4	9.8	8.4	9.9
C12Cc3c(c(O)ccc3n3c4ncnc(N)c4nc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)CS(=O)(=O)C)CCCN(C)C)C(=O)N	6.4	8.1	6.4	7.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CCC)C(=O)NC)c1ccc(Cl)c(Cl)c1)C(=O)N	6.9	7.6	6.9	7.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1n[nH]cn1)c1ccc(Br)o1)c1ccncn1)C(=O)N	6.6	7.9	6.6	9.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1ccncn1)c1c(cccc1F)NC(=O)C)C(=O)N	8.4	7.9	8.4	8.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1ccc(O)cc1)c1ccc2[nH]nc(c2c1)c1cc2c(ccc3c2cncc3)nc1)C(=O)N	8.5	8.2	8.5	9.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ncncc1Cl)c1ccncn1)c1ncc(cc1)C#N)C(=O)N	8.4	8.3	8.4	7.5
C12Cc3c(c(O)ccc3N3CCCCC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(nc1)c1cc(Cl)ccc1F)C(=O)N	7.6	11.4	7.6	8.9
C12Cc3c(c(O)ccc3N(C)C)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1c[nH]cc1)c1ccncn1)C(=O)N	7.7	7.7	7.7	7.2
C12Cc3c(c(O)ccc3N3CCN(CC3)c3ncc4nc[nH]c4n3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)c1c[nH]nc1)C(=O)N	8.9	9.9	8.9	8.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cc2c(ccc3c2cncc3)nc1)c1ccc(S(=O)=O)cc1)CC1CC1)C(=O)N	7.8	7.7	7.8	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)C1OC(C(C1O)O)Nc1ccc(I)cc1Cl)C(=O)N	7.5	9.6	7.5	7.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)CS(=O)(=O)C)c1c(c[nH]n1)c1cc[nH]n1)C(=O)N	7.6	7.7	7.6	8.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1[nH]cnc1)c1c[nH]c(c1)c1cc(Cl)ccc1F)C(=O)N	9.3	8.1	9.3	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cc2c(ccc3c2cncc3)nc1)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)c1ccc(Cl)c(Cl)c1)C(=O)N	9.4	12.4	9.4	7.8
C12Cc3c(c(O)ccc3N(C)C)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1ccc(Br)o1)c1ccc(O)cc1)C(=O)N	6.5	7.7	6.5	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1cc(Cl)cc(c1F)N(C)C)c1c[nH]nc1)C(=O)N	8.1	7.5	8.1	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1n(ccn1)c1ncc2nc[nH]c2n1)C(=O)N	9.9	11.6	9.9	10.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c[nH]c(c1)c1ccc(Br)o1)c1ccc(Cl)c(Cl)c1)C(=O)N	7.3	9.0	7.3	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(nc1CCC)c1ccc(Br)o1)C(=O)N	7.5	10.2	7.5	9.1
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)c1c[nH]nc1CN1C(=O)C(=NO)c2c1cccc2)C(=O)N	8.4	8.2	8.4	8.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c(c(c(F)cc1)F)NCC(NC(=O)OC)C)C1OCC(C1O)O)C(=O)N	8.4	8.4	8.4	8.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1cccc2N(C(=O)C(=NO)c12)Cc1[nH]ccn1)c1cc[nH]n1)C(=O)N	10.4	9.4	10.4	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1ccc(O)cc1)CN1C(=O)C(=NO)c2c1cccc2c1c[nH]cc1)C(=O)N	8.7	10.3	8.7	9.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cnc2ccccc2c1)c1ccc(Br)o1)c1cnc2ccccc2c1)C(=O)N	8.2	8.2	8.2	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1nc[nH]c1)CCO)c1n[nH]c2ccccc12)C(=O)N	8.4	9.0	8.4	7.9
C12Cc3c(c(O)ccc3n3cc(c4c3cccc4)C3=C(C(=O)NC3=O)c3c[nH]c4c3cccc4)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)c1cccc2N(C(=O)C(=NO)c12)C)C(=O)N	9.0	8.3	9.0	6.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1nc(c(cc1)C#N)OC)c1cnc2ccccc2c1)C(=O)N	8.4	8.1	8.4	8.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ncncc1Cl)c1ccc(S(=O)=O)cc1)c1cnc2ccccc2c1)C(=O)N	7.2	8.7	7.2	7.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1ccccc1F)c1ccnc(n1)N1CCCCC1)C(=O)N	8.9	9.8	8.9	9.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1[nH]cc(n1)c1ncc(cc1)C#N)c1c[nH]c2ccccc12)C(=O)N	9.0	8.0	9.0	8.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ccc(Cl)c(Cl)c1)C(=O)NCC)CCO)C(=O)N	7.8	6.6	7.8	8.5
C12Cc3c(c(O)ccc3N)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)CCC)C1OCC(C1O)O)C(=O)N	7.7	7.1	7.7	7.2
C12Cc3c(c(O)ccc3NC3CC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1ncc(cc1)C#N)c1ccncn1)C(=O)N	7.3	8.0	7.3	7.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(nc1)c1c(c[nH]n1)c1ccco1)C(=O)N	9.7	11.7	9.7	8.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1ncn(c1c1cc[nH]n1)CC1CC1)C(=O)N	8.0	8.4	8.0	7.6
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1)c1c(c[nH]n1)c1[nH]c(nc1)c1cc(Cl)ccc1F)C(=O)N	7.9	8.5	7.9	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1ccncn1)c1[nH]cc(c1)c1nc[nH]c1)C(=O)N	7.8	9.5	7.8	9.8
C12Cc3c(c(O)ccc3N)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1CCC)c1ccc(Cl)c(Cl)c1)C(=O)N	7.7	7.1	7.7	8.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1ccnc(n1)NC1CC1)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)C(=O)N	9.6	9.5	9.6	7.9
C12Cc3c(c(O)ccc3N(C)C)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1n[nH]c2ccccc12)C1OCC(C1O)O)C(=O)N	6.6	7.9	6.6	8.1
C12Cc3c(c(O)ccc3n3cc(c4c3cccc4)C3=C(C(=O)NC3=O)c3c[nH]c4c3cccc4)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1c[nH]cc1)c1cc(Cl)ccc1)C(=O)N	7.3	9.5	7.3	8.1
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1CC1CC1)c1c(c[nH]n1)c1ccc(S(=O)=O)cc1)C(=O)N	7.1	8.2	7.1	7.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(c(n1)CCCN(C)C)c1c[nH]cc1)C(=O)N	7.7	8.3	7.7	7.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1cc(c(F)cc1)F)c1cnc2cccc(c2c1)N(C)C)C(=O)N	8.8	9.2	8.8	8.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1C(=O)NC)c1n(cnc1)c1nc2c(OC(C)(C)C(=O)N2COP(=O)(O)O)cc1)C(=O)N	8.1	8.6	8.1	8.0
C12Cc3c(c(O)ccc3n3cnc4cnc(nc34)NC3CC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1C1OCC(C1O)O)C(=O)N	8.7	8.4	8.7	7.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CC(=O)NC)c1c[nH]nc1)c1[nH]ccc1)C(=O)N	7.5	8.4	7.5	8.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ncc(cc1)C#N)c1cc(c(F)cc1)F)c1cc2c(ccc3c2cncc3)nc1)C(=O)N	10.4	10.1	10.4	9.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1ccc2[nH]nc(c2c1)CCCN(C)C)c1ccc(Cl)c(Cl)c1)C(=O)N	8.5	8.5	8.5	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CC#C)c1cnc2ccccn12)C1OCC(C1O)O)C(=O)N	7.6	8.4	7.6	9.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1n(cc(n1)c1ccco1)C(C)(C)C)C(=O)N	8.5	8.0	8.5	8.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1c[nH]nc1)CN1C(=O)C(=NO)c2c1cccc2)c1ccc(O)cc1)C(=O)N	8.7	8.2	8.7	9.3
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1c[nH]c2ccccc12)c1c[nH]nc1C(=O)N)C(=O)N	7.6	8.4	7.6	9.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cnc2ccccc2c1)CC(=O)NC)c1ccncn1)C(=O)N	7.7	8.5	7.7	9.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1CCO)c1cc2c(ccc3c2cncc3)nc1)c1cc[nH]n1)C(=O)N	9.3	8.5	9.3	8.9
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1C(=O)NCc1ccc(S(=O)=O)cc1)c1cc[nH]n1)C(=O)N	8.6	9.0	8.6	8.6
C12Cc3c(c(O)ccc3N3CCCCC3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]cnc1c1c[nH]nc1)C(=O)N	9.4	8.5	9.4	8.1
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1[nH]c(cn1)c1n[nH]c2ccccc12)c1ccc(Br)cc1)C(=O)N	9.9	9.7	9.9	9.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1[nH]c(nc1)CN1C(=O)C(=NO)c2c1cccc2CC(=O)NC)C(=O)N	8.5	8.4	8.5	8.9
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1cccc2N(C(=O)C(=NO)c12)Cc1ccc(Br)o1)c1cc2c(ccc3c2cncc3)nc1)C(=O)N	9.0	11.2	9.0	8.0
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1[nH]cnc1)c1cc(Cl)ccc1)c1c[nH]cc1)C(=O)N	8.4	8.8	8.4	8.2
C12Cc3c(c(O)ccc3NC(=O)CONC=O)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1C1CCN(C)CC1)C(=O)N	8.0	8.4	8.0	7.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c[nH]nc1c1cc[nH]n1)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)C(=O)N	9.9	10.7	9.9	9.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cnc2ccccc2c1)CCC)CN1C(=O)C(=NO)c2c1cccc2)C(=O)N	7.9	9.7	7.9	8.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1cnc2ccccn12)c1ccc(O)cc1)c1ncncc1Cl)C(=O)N	7.6	7.6	7.6	9.1
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1[nH]c(cn1)c1ccccc1F)CC1CC1)C(=O)N	9.0	10.7	9.0	9.1
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cncc1c1nc(n(c1)c1ncc(F)cn1)c1cc2c(ccc3c2cncc3)nc1)C(=O)N	8.2	9.7	8.2	9.8
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c[nH]c(c1)c1cc[nH]n1)c1cc2c(ccc3c2cncc3)nc1)C(=O)N	8.5	9.0	8.5	8.5
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1)c1c[nH]nc1c1n[nH]cn1)c1ccc(Cl)c(Cl)c1)C(=O)N	8.8	9.6	8.8	9.2
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1C1OC(C(C1O)O)n1cnc2cncnc12)c1c[nH]c2ccccc12)C(=O)N	8.7	8.4	8.7	8.7
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1cnc(c1c1[nH]cnc1c1n[nH]c2ccccc12)c1cc(Cl)ccc1F)C(=O)N	9.9	9.4	9.9	8.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(ncc1c1[nH]c(cn1)c1cnc2ccccn12)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)C(=O)N	10.7	10.0	10.7	7.4
C12Cc3c(c(O)ccc3)C(=O)C1=C(O)C1(O)C(=O)C(=C(O)C(C1C2)n1c(nc(c1c1ccc(Br)cc1)CN1C(=O)C(=NO)c2c1cccc2C=Cc1ccccc1)c1c[nH]nc1)C(=O)N	8.0	7.8	8.0	8.6
