SMILES	2xkj	2xkk	3ifz	FA7
c1(c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2)C)NC(=O)C(N1CC(C)NCC1)c1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F	9.3	0.0	10.0	8.4
CC1(C(N2C(S1)CC2=O)C(C(=O)N)n1cc(c(=O)c2cc(c(c(c12)OC)N1CC(C)NCC1)F)c1ccccc1)C	7.8	0.9	7.8	8.4
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3N2CCNCC2)C)C1=O)C1CC1	8.0	0.0	8.8	8.2
c1c(F)cc2c(=O)c(cn(c2c1)CC1C(C)(SC2N1C(=O)C2)C)c1c(=O)c2cc(c(cc2[nH]c1)n1ccc(=O)c2cc(ccc12)F)F	10.4	0.0	10.0	8.9
c1(c(F)cc2c(=O)cc[nH]c2c1)NC(=O)C(c1ccccc1)C1C(C)(SC2N1C(=O)C2NC(=O)CN1CC(C)NCC1)C	8.9	0.0	7.6	9.0
N1(CCNCC1)C1C2N(C(C(C)(S2)C)C(C(=O)N)c2c(=O)c3cc(c(cc3n(c2)C)N2CCNCC2)F)C1=O	8.3	0.0	7.9	7.8
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)C)C1=O)CC(=O)N	8.6	0.7	9.5	10.0
N1(CCNCC1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3n(c2)CN2CCNCC2)N2CC(C)NCC2)F)C1=O	8.4	0.0	8.7	7.3
CC1(CN2C(S1)C(C2=O)NC(=O)C(n1cc(c(=O)c2cc(ccc12)F)Cc1c(=O)c2cc(ccc2[nH]c1)F)c1ccccc1)C	9.7	0.0	9.1	9.9
c1(c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2N)C)n1cc(c(=O)c2cc(cc(c12)OC)F)C1CC1	8.5	0.0	9.7	7.8
c1c(F)cc2c(=O)ccn(c2c1)Cn1cc(c(=O)c2cc(cc(c12)OC)F)C1C(C)(SC2N1C(=O)C2N)C	8.3	0.0	8.3	7.9
CC1CN(CCN1)C(C(=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)CC(=O)N)C1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(ccc12)F)C	10.0	0.0	9.3	9.3
c1(c(F)cc2c(=O)c(c[nH]c2c1)CC1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(cc(c12)OC)F)C)N1CCNCC1	8.4	0.0	8.9	8.6
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C)C1=O)c1c(=O)c2cc(c(cc2n(c1)C1C2N(CC(C)(S2)C)C1=O)N1CCNCC1)F	9.3	0.0	9.9	10.6
c1(c(F)cc2c(=O)c(cn(c2c1)C)C1C(C)(SC2N1C(=O)C2)C)n1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(ccc12)F)F)C1C(C)(SC2N1C(=O)C2)C	11.1	0.0	9.6	9.6
c1(c(F)cc2c(=O)ccn(c2c1OC)c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2ccccc2)C1=O)N	8.8	1.3	8.7	9.1
c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)CC(=O)NC2C3N(C(C(C)(S3)C)CC3C(C)(SC4N3C(=O)C4)C)C2=O)C1=O	9.2	0.0	8.8	8.9
c1(c(F)cc2c(=O)cc[nH]c2c1)n1cc(c(=O)c2cc(c(c(c12)OC)N1CCNCC1)F)C1C(C)(SC2N1C(=O)C2N)C	8.5	0.0	7.8	7.7
c1(c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)c(cn(c2c1)C(=O)O)C1C(C)(SC2N1C(=O)C2)C)c1c(=O)c2cc(ccc2[nH]c1)F)N1CC(C)NCC1	10.2	0.0	10.0	9.5
c1(c(F)cc2c(=O)c(cn(c2c1)C)CC(=O)N)NC1C2N(C(C(C)(S2)C)CC)C1=O	7.5	0.0	7.8	7.4
c1c(F)cc2c(=O)ccn(c2c1)CC(=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)C(C(=O)N)C1C(C)(SC2N1C(=O)C2NC(=O)C)C	9.5	0.0	9.4	8.6
c1(c(F)cc2c(=O)c(c[nH]c2c1)CC)n1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(c(cc12)N)F)F)C1C(C)(SC2N1C(=O)C2)C	9.5	0.0	9.4	9.1
CC1CN(CCN1)C(C(=O)Nc1c(F)cc2c(=O)ccn(c2c1)C1C2N(CC(C)(S2)C)C1=O)n1ccc(=O)c2cc(c(cc12)N)F	8.2	0.0	8.6	8.5
CC1(C(N2C(S1)C(C2=O)N1CCNCC1)Cn1cc(c(=O)c2cc(ccc12)F)Cc1ccccc1)C	9.4	0.0	9.0	8.5
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(CC(C)(S2)C)C1=O)C1C(C)(SC2N1C(=O)C2N1CCNCC1)C)c1c(=O)c2cc(ccc2[nH]c1)F	10.6	0.0	12.6	8.9
c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3n(c2)c2c(F)cc3c(=O)cc[nH]c3c2)n2cc(c(=O)c3cc(ccc23)F)c2c(=O)c3cc(ccc3[nH]c2)F)F)C1=O	11.6	0.0	11.9	8.7
CC1(C(N2C(S1)C(C2=O)n1ccc(=O)c2cc(c(cc12)n1ccc(=O)c2cc(c(cc12)n1cc(c(=O)c2cc(ccc12)F)c1c(=O)c2cc(ccc2[nH]c1)F)F)F)C)C	11.6	0.0	11.6	11.9
c1c(F)cc2c(=O)c(cn(c2c1)Cn1cc(c(=O)c2cc(ccc12)F)CC1C(C)(SC2N1C(=O)C2)C)CC	8.8	0.0	8.9	9.0
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C(C(=O)N)c2c(=O)c3cc(c(cc3[nH]c2)N)F)C1=O)c1c(=O)c2cc(ccc2[nH]c1)F	8.7	0.0	11.4	9.4
c1(c(F)cc2c(=O)c(cn(c2c1)C1CC1)c1c(=O)c2cc(ccc2n(c1)CC(=O)N)F)NC(=O)CC1C(C)(SC2N1C(=O)C2)C	8.3	0.0	9.6	8.3
c1c(F)cc2c(=O)c(cn(c2c1)CC(=O)Nc1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)cc[nH]c2c1)C1C(C)(SC2N1C(=O)C2)C)c1c(=O)c2cc(ccc2[nH]c1)F	9.6	0.0	11.5	12.0
CC1(C(N2C(S1)CC2=O)Cn1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(c(cc12)N1CCNCC1)F)F)c1c(=O)c2cc(ccc2[nH]c1)F)C	9.5	0.0	10.7	9.1
c1(c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc(F)cc1)C)Nc1c(F)cc2c(=O)ccn(c2c1)C1C2N(CC(C)(S2)C)C1=O	9.8	0.0	9.2	10.3
CC1(C(N2C(S1)C(C2=O)NC(=O)C(N1CC(C)NCC1)N1CC(C)NCC1)c1c(=O)c2cc(ccc2n(c1)c1c(F)cc2c(=O)cc[nH]c2c1)F)C	9.6	0.0	8.7	8.8
c1(c(F)cc2c(=O)c(cn(c2c1)CC(=O)NC1C2N(C(C(C)(S2)C)C)C1=O)C1C(C)(SC2N1C(=O)C2)C)NC(=O)C	6.9	0.0	7.9	7.7
c1(c(F)cc2c(=O)c(cn(c2c1)CC)CC(=O)N)n1cc(c(=O)c2cc(c(cc12)N)F)C1C(C)(SC2N1C(=O)C2)C	8.9	0.8	9.1	8.3
c1(c(F)cc2c(=O)c(c[nH]c2c1)CC1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(c(cc12)N1CC(C)NCC1)F)C)n1ccc(=O)c2cc(ccc12)F	11.8	0.0	11.4	9.4
c1(c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(ccc12)F)C)n1ccc(=O)c2cc(c(cc12)n1ccc(=O)c2cc(c(cc12)N1CCNCC1)F)F	11.8	0.0	11.4	8.5
CC1(C(N2C(S1)CC2=O)C(C(=O)N)c1c(=O)c2cc(c(cc2n(c1)C1CC1)n1cc(c(=O)c2cc(ccc12)F)C(=O)O)F)C	9.1	0.0	8.5	7.4
c1(c(F)cc2c(=O)c(c[nH]c2c1)CC(=O)N)Nc1c(F)cc2c(=O)c(cn(c2c1)C1C2N(CC(C)(S2)C)C1=O)C	9.0	0.0	9.7	8.7
c1c(F)cc2c(=O)c(cn(c2c1)CC(=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(ccc2n(c1)c1c(F)cc(F)cc1)F)C1C(C)(SC2N1C(=O)C2)C	10.4	0.0	12.0	9.0
CC1(C(N2C(S1)CC2=O)Cn1cc(c(=O)c2cc(c(cc12)NC(=O)C)F)CC(=O)Nc1c(F)cc(F)cc1)C	8.7	0.0	7.3	8.3
CC1(CN2C(S1)C(C2=O)NC(=O)Cn1cc(c(=O)c2cc(c(cc12)NC(=O)Cc1ccccc1)F)C1C(C)(SC2N1C(=O)C2)C)C	8.4	0.0	9.9	8.9
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)Cc1c(=O)c2cc(ccc2n(c1)C1CC1)F)C1C(C)(SC2N1C(=O)C2)C	9.3	0.0	9.8	9.2
CC1(C(N2C(S1)CC2=O)Cc1c(=O)c2cc(cc(c2n(c1)CN1CCNCC1)OC)F)C	7.2	0.0	6.9	7.4
c1c(F)cc2c(=O)c(cn(c2c1)C1CC1)c1c(=O)c2cc(ccc2n(c1)CC(=O)NC1C2N(C(C(C)(S2)C)C2CC2)C1=O)F	8.5	0.0	8.1	10.1
c1(c(F)cc2c(=O)c(cn(c2c1)C1CC1)C1C(C)(SC2N1C(=O)C2n1cc(c(=O)c2cc(ccc12)F)c1c(=O)c2cc(ccc2[nH]c1)F)C)N	10.9	0.0	11.1	9.0
c1(c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)cc[nH]c2c1)NC(=O)C(C1C(C)(SC2N1C(=O)C2)C)n1cc(c(=O)c2cc(ccc12)F)C1CC1	10.9	0.0	9.4	9.8
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)cc[nH]c2c1)CC(=O)NC1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3[nH]c2)N)F)C1=O	11.5	0.0	10.6	9.8
c1(c(F)cc2c(=O)c(cn(c2c1)CC(=O)N)CC(=O)NC1C2N(CC(C)(S2)C)C1=O)NC(=O)C	8.4	0.0	7.6	7.5
CC1(C(N2C(S1)C(C2=O)Nc1c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)CC)C)C	9.2	0.9	9.3	9.1
c1(c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3)C)C1=O)c1c(=O)c2cc(ccc2[nH]c1)F)NC(=O)CN1CCNCC1	10.1	0.0	10.0	9.9
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)c2ccccc2)C1=O)CC(=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)C1CC1	8.7	0.0	9.4	8.7
CC1CN(CCN1)CC(=O)NC1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3n(c2)CC(=O)N)NC(=O)C)F)C1=O	7.8	0.0	8.5	7.0
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)c(cn(c2c1OC)C1CC1)C1C(C)(SC2N1C(=O)C2)C)C1CC1	8.6	0.0	8.8	7.9
c1(c(F)cc2c(=O)c(c[nH]c2c1)c1c(cccc1)OC)n1ccc(=O)c2cc(c(cc12)NC(=O)CC1C(C)(SC2N1C(=O)C2)C)F	9.4	0.0	9.3	8.3
CC1(C(N2C(S1)C(C2=O)NC(=O)Cc1c(=O)c2cc(ccc2n(c1)c1c(F)cc2c(=O)ccn(c2c1)C(=O)O)F)C1C(C)(SC2N1C(=O)C2)C)C	9.5	0.0	10.2	9.1
c1(c(F)cc2c(=O)c(cn(c2c1)C(C(=O)Nc1c(F)cc2c(=O)cc[nH]c2c1)C1C(C)(SC2N1C(=O)C2)C)CC)N1CCNCC1	8.4	0.0	8.6	8.1
c1c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(c(cc2n(c1)C1C2N(CC(C)(S2)C)C1=O)n1cc(c(=O)c2cc(ccc12)F)c1c(=O)c2cc(c(cc2[nH]c1)N1CCNCC1)F)F	9.9	1.3	8.9	7.6
c1(c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2)C)n1cc(c(=O)c2cc(c(cc12)n1cc(c(=O)c2cc(ccc12)F)C(=O)O)F)C1CC1	9.5	0.0	9.1	8.4
c1(c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3)C)C1=O)C1CC1)Nc1c(F)cc2c(=O)cc[nH]c2c1	9.9	0.0	10.7	7.9
CC1(CN2C(S1)C(C2=O)NC(=O)C(n1ccc(=O)c2cc(ccc12)F)c1c(=O)c2cc(c(cc2[nH]c1)n1cc(c(=O)c2cc(ccc12)F)CC(=O)N)F)C	11.0	0.0	10.0	9.1
c1c(F)cc2c(=O)c(cn(c2c1)CC(=O)Nc1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc(F)cc1)C1C(C)(SC2N1C(=O)C2)C)CC	9.5	0.0	8.0	10.0
CC1(C(N2C(S1)CC2=O)C(C(=O)Nc1c(F)cc2c(=O)c(cn(c2c1)CC)c1ccccc1)C1C(C)(SC2N1C(=O)C2)C)C	8.6	0.0	9.2	8.8
c1c(F)cc2c(=O)c(cn(c2c1)C)c1c(=O)c2cc(ccc2n(c1)C1C2N(C(C(C)(S2)C)CC(=O)NC2C3N(CC(C)(S3)C)C2=O)C1=O)F	8.6	0.0	9.3	9.5
c1(c(F)cc2c(=O)cc[nH]c2c1)n1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(ccc12)F)F)C(C(=O)Nc1c(F)cc(F)cc1)C1C(C)(SC2N1C(=O)C2)C	9.4	1.0	10.3	11.6
CC1(C(N2C(S1)CC2=O)C1C(C)(SC2N1C(=O)C2NC(=O)C(n1ccc(=O)c2cc(cc(c12)OC)F)N1CC(C)NCC1)C)C	9.2	0.0	7.4	7.3
CC1(C(N2C(S1)C(C2=O)NC(=O)Cn1cc(c(=O)c2cc(c(cc12)N1CC(C)NCC1)F)CC)c1c(=O)c2cc(ccc2[nH]c1)F)C	9.9	0.0	9.1	9.4
CC1(C(N2C(S1)C(C2=O)n1ccc(=O)c2cc(c(cc12)n1cc(c(=O)c2cc(ccc12)F)c1c(=O)c2cc(c(cc2[nH]c1)N1CC(C)NCC1)F)F)C)C	9.8	0.0	12.6	10.2
CC1(CN2C(S1)C(C2=O)NC(=O)C(c1c(=O)c2cc(c(cc2n(c1)C)N1CC(C)NCC1)F)n1ccc(=O)c2cc(ccc12)F)C	11.1	0.0	9.1	9.5
c1(c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(ccc2n(c1)C1C2N(C(C(C)(S2)C)CC)C1=O)F)n1ccc(=O)c2cc(c(cc12)N1CC(C)NCC1)F	11.2	0.0	11.3	7.2
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc(F)cc1)c1c(=O)c2cc(c(cc2n(c1)C1C2N(C(C(C)(S2)C)C2CC2)C1=O)N1CCNCC1)F	10.6	0.9	9.5	8.8
CC1(C(N2C(S1)C(C2=O)NC(=O)C(c1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F)N1CC(C)NCC1)C(=O)O)C	8.8	0.0	7.7	10.1
CC1(C(N2C(S1)C(C2=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(c(cc2[nH]c1)N1CCNCC1)F)C1CC1)C	8.9	0.0	9.4	8.5
c1(c(F)cc2c(=O)c(cn(c2c1)C1C2N(CC(C)(S2)C)C1=O)c1c(=O)c2cc(cc(c2n(c1)CC)OC)F)N1CC(C)NCC1	8.2	0.7	10.0	8.9
N1(CCNCC1)Cn1ccc(=O)c2cc(c(cc12)NC(=O)CC1C(C)(SC2N1C(=O)C2)C)F	8.5	0.0	7.9	7.2
c1(c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C)C1=O)C(C(=O)N)N1CC(C)NCC1)n1ccc(=O)c2cc(ccc12)F	9.0	0.0	9.6	7.9
c1c(F)cc2c(=O)c(cn(c2c1)C1C2N(C(C(C)(S2)C)C(=O)O)C1=O)c1c(=O)c2cc(ccc2n(c1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(ccc3[nH]c2)F)C1=O)F	10.1	0.0	10.3	10.1
c1(c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3n(c2)c2c(F)cc(F)cc2)NC(=O)C)F)C1=O)N1CC(C)NCC1	9.5	0.0	10.3	7.5
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2N)C)C(=O)O	9.7	0.0	10.6	9.8
CC1(C(N2C(S1)C(C2=O)N1CC(C)NCC1)Cn1cc(c(=O)c2cc(ccc12)F)Cc1ccccc1)C	8.5	0.0	9.4	8.9
CC1(C(N2C(S1)C(C2=O)n1ccc(=O)c2cc(c(c(c12)OC)NC(=O)C)F)C(C(=O)N)c1ccccc1)C	7.4	0.0	8.2	7.0
c1(c(F)cc2c(=O)c(c[nH]c2c1OC)c1ccccc1)n1cc(c(=O)c2cc(ccc12)F)C1C(C)(SC2N1C(=O)C2N1CC(C)NCC1)C	8.5	0.0	9.3	8.3
CC1(C(N2C(S1)C(C2=O)NC(=O)C)c1c(=O)c2cc(c(cc2[nH]c1)n1ccc(=O)c2cc(c(cc12)Nc1c(F)cc2c(=O)cc[nH]c2c1)F)F)C	9.8	0.0	9.8	9.9
c1(c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3[nH]c2)n2cc(c(=O)c3cc(ccc23)F)C)F)C1=O)N1CCNCC1	11.2	0.0	11.2	9.8
c1(c(F)cc2c(=O)c(cn(c2c1)C(=O)O)C1CC1)NC(=O)C(C1C(C)(SC2N1C(=O)C2)C)N1CC(C)NCC1	8.4	0.0	9.2	7.7
CC1(C(N2C(S1)C(C2=O)NC1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3n2ccc(=O)c3cc(ccc23)F)C)C1=O)c1c(=O)c2cc(ccc2[nH]c1)F)C	11.9	0.0	9.2	9.5
c1c(F)cc2c(=O)c(cn(c2c1)C(C(=O)N)n1cc(c(=O)c2cc(ccc12)F)C1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(ccc12)F)C)C(=O)O	10.5	0.0	8.4	9.1
N1(CCNCC1)C1C2N(C(C(C)(S2)C)C(C(=O)Nc2c(F)cc3c(=O)cc[nH]c3c2)c2ccccc2OC)C1=O	8.3	0.9	8.2	7.9
c1c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(ccc2n(c1)c1c(F)cc2c(=O)c(cn(c2c1)CC1C(C)(SC2N1C(=O)C2)C)c1ccccc1)F	9.9	0.0	10.7	8.8
CC1(CN2C(S1)C(C2=O)NC(=O)C(n1cc(c(=O)c2cc(c(cc12)n1ccc(=O)c2cc(ccc12)F)F)C1C(C)(SC2N1C(=O)C2)C)c1ccccc1)C	8.8	0.6	9.4	10.1
c1(c(F)cc2c(=O)c(cn(c2c1)CC(=O)N)C(C(=O)N)N1CC(C)NCC1)NC(=O)CC1C(C)(SC2N1C(=O)C2)C	7.0	0.9	7.5	7.9
c1(c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(c(cc2[nH]c1)NC(=O)Cc1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F)F)N1CC(C)NCC1	9.9	0.0	13.0	5.6
c1(c(F)cc2c(=O)c(c[nH]c2c1)CC(=O)NC1C2N(C(C(C)(S2)C)C2C(C)(SC3N2C(=O)C3)C)C1=O)n1cc(c(=O)c2cc(ccc12)F)C1C(C)(SC2N1C(=O)C2)C	9.1	0.9	10.4	7.2
CC1(C(N2C(S1)C(C2=O)n1cc(c(=O)c2cc(ccc12)F)CC)C(C(=O)N)c1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F)C	9.4	0.0	9.3	9.5
CC1(C(N2C(S1)CC2=O)CC(=O)Nc1c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)c(c[nH]c2c1OC)CC)C	7.6	0.0	8.5	9.1
CC1(CN2C(S1)C(C2=O)NC(=O)C(c1ccccc1)n1ccc(=O)c2cc(c(cc12)N1CCNCC1)F)C	8.9	0.0	8.9	8.1
c1c(F)cc2c(=O)ccn(c2c1OC)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(c(cc3n(c2)CC(=O)N)N2CC(C)NCC2)F)C1=O	8.6	0.0	7.7	8.3
CC1(CN2C(S1)C(C2=O)NC(=O)C(c1c(=O)c2cc(ccc2[nH]c1)F)n1cc(c(=O)c2cc(cc(c12)OC)F)C(=O)O)C	9.3	1.5	8.6	9.9
c1(c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2c(=O)c3cc(ccc3n(c2)c2c(F)cc3c(=O)c(c[nH]c3c2)C2C(C)(SC3N2C(=O)C3)C)F)C1=O)N	10.7	0.0	10.1	9.5
c1c(F)cc2c(=O)c(cn(c2c1)Cc1c(=O)c2cc(ccc2n(c1)C1C2N(C(C(C)(S2)C)CC)C1=O)F)CC(=O)N	9.4	0.0	9.0	9.3
c1(c(F)cc(F)cc1)Nc1c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)c(c[nH]c2c1)c1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F	9.5	0.0	11.5	9.7
CC1(C(N2C(S1)CC2=O)C1C(C)(SC2N1C(=O)C2NC(=O)C(C1C(C)(SC2N1C(=O)C2)C)n1cc(c(=O)c2cc(ccc12)F)C(=O)O)C)C	7.8	0.0	8.6	7.9
N1(CCNCC1)C(C(=O)Nc1c(F)cc2c(=O)c(c[nH]c2c1)CC(=O)N)c1c(=O)c2cc(ccc2n(c1)C1C2N(CC(C)(S2)C)C1=O)F	6.9	0.0	9.0	9.3
c1(c(F)cc2c(=O)ccn(c2c1)C(=O)O)NC(=O)CC1C(C)(SC2N1C(=O)C2Nc1c(F)cc(F)cc1)C	9.0	1.4	9.0	8.2
c1(c(F)cc2c(=O)cc[nH]c2c1)n1cc(c(=O)c2cc(c(cc12)NC(=O)CN1CCNCC1)F)C1C(C)(SC2N1C(=O)C2NC(=O)C)C	8.0	0.0	9.4	9.8
c1(c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)cc[nH]c2c1)C1C(C)(SC2N1C(=O)C2)C)n1cc(c(=O)c2cc(ccc12)F)C(C(=O)N)N1CC(C)NCC1	8.5	1.3	11.1	11.3
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)c2ccccc2)C1=O)c1ccccc1OC	9.8	0.7	9.0	9.5
c1c(F)cc2c(=O)c(cn(c2c1)c1c(F)cc2c(=O)ccn(c2c1)C1C2N(C(C(C)(S2)C)CC(=O)N)C1=O)c1c(=O)c2cc(ccc2n(c1)C1CC1)F	10.0	1.2	9.2	9.5
c1(c(F)cc2c(=O)c(c[nH]c2c1)C(=O)O)Nc1c(F)cc2c(=O)ccn(c2c1)CC1C(C)(SC2N1C(=O)C2)C	8.4	0.8	9.5	8.5
CC1(C(N2C(S1)CC2=O)C(C(=O)Nc1c(F)cc(F)cc1)c1c(=O)c2cc(c(cc2n(c1)C1CC1)NC(=O)C)F)C	7.6	0.0	8.5	9.1
c1c(F)cc2c(=O)ccn(c2c1)c1c(F)cc2c(=O)c(c[nH]c2c1)C1C(C)(SC2N1C(=O)C2NC(=O)C(n1ccc(=O)c2cc(ccc12)F)n1ccc(=O)c2cc(ccc12)F)C	11.9	0.0	10.0	8.4
N1(CCNCC1)C(C(=O)N)n1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C1C(C)(SC2N1C(=O)C2n1ccc(=O)c2cc(ccc12)F)C	8.6	0.0	8.0	8.1
CC1(C(N2C(S1)C(C2=O)NC(=O)C(n1ccc(=O)c2cc(ccc12)F)c1c(=O)c2cc(ccc2n(c1)C(=O)O)F)C)C	8.5	0.0	9.3	9.5
CC1CN(CCN1)CC1C(C)(SC2N1C(=O)C2n1cc(c(=O)c2cc(ccc12)F)C(C(=O)N)N1CCNCC1)C	8.4	0.0	7.7	7.9
